航班,始发地,目的地,经停,计划到达,航站楼,状态
SC4310,广州,成都,,12:15,T2,已于16:27到达
TV6352,广州,成都,,12:15,T2,已于16:27到达
ZH4310,广州,成都,,12:15,T2,已于16:27到达
QW9879,青岛,成都,,12:15,T2,已于12:09到达
ZZBJN097,杭州,成都,,12:15,T2,已于11:50到达
ZZB602M,北京,成都,,12:20,T2,已于12:30到达
CA402T,红原,成都,,12:20,T2,已于12:50到达
3U8064,珠海,成都,,12:20,T1,已于12:24到达
CZ4908,珠海,成都,,12:20,T1,已于12:24到达
ZH3864,珠海,成都,,12:20,T1,已于12:24到达
9C8887,上海虹桥,成都,,12:20,T2,已于12:06到达
CZ6439,大连,成都,,12:20,T2,已于11:52到达
MU5403,上海浦东,成都,,12:25,T2,已于11:56到达
3U5002,上海浦东,成都,,12:25,T2,已于11:56到达
HO3689,上海浦东,成都,,12:25,T2,已于11:56到达
JL5681,上海浦东,成都,,12:25,T2,已于11:56到达
QF4011,上海浦东,成都,,12:25,T2,已于11:56到达
TV9848,林芝,成都,,12:25,T2,计划12:25到达
CA3952,林芝,成都,,12:25,T2,计划12:25到达
CA4590,常州,成都,,12:30,T2,已于13:03到达
SC4590,常州,成都,,12:30,T2,已于13:03到达
TV6480,常州,成都,,12:30,T2,已于13:03到达
ZH4590,常州,成都,,12:30,T2,已于13:03到达
CA4402,拉萨,成都,,12:35,T2,已于12:46到达
SC4402,拉萨,成都,,12:35,T2,已于12:46到达
TV6288,拉萨,成都,,12:35,T2,已于12:46到达
ZH4402,拉萨,成都,,12:35,T2,已于12:46到达
3U8698,拉萨,成都,,12:35,T1,已于12:15到达
CZ4974,拉萨,成都,,12:35,T1,已于12:15到达
MU4622,拉萨,成都,,12:35,T1,已于12:15到达
KA886,香港,成都,,12:40,T1,已于12:18到达
CA6502,香港,成都,,12:40,T1,已于12:18到达
CX5886,香港,成都,,12:40,T1,已于12:18到达
MU5405,上海虹桥,成都,,12:40,T2,已于11:57到达
3U5012,上海虹桥,成都,,12:40,T2,已于11:57到达
CA4252,林芝,成都,,12:45,T2,已于12:26到达
SC4252,林芝,成都,,12:45,T2,已于12:26到达
ZH4252,林芝,成都,,12:45,T2,已于12:26到达
CA4522,合肥,成都,,12:45,T2,已于13:10到达
SC4522,合肥,成都,,12:45,T2,已于13:10到达
ZH4522,合肥,成都,,12:45,T2,已于13:10到达
CZ8648,稻城亚丁,成都,,12:45,T2,已于12:21到达
CZ6401,沈阳桃仙,成都,,12:50,T2,已于12:58到达
3U3135,沈阳桃仙,成都,,12:50,T2,已于12:58到达
MF4103,沈阳桃仙,成都,,12:50,T2,已于12:58到达
MU4745,沈阳桃仙,成都,,12:50,T2,已于12:58到达
TV9806,三亚,成都,,12:50,T2,已于12:28到达
CA3914,三亚,成都,,12:50,T2,已于12:28到达
KL891,阿姆斯特丹,成都,,12:50,T1,已于14:31到达
3U8061,乌鲁木齐,成都,,12:50,T1,已于19:30到达
MU3970,乌鲁木齐,成都,,12:50,T1,已于19:30到达
3U8702,深圳,成都,,12:55,T1,已于12:32到达
CZ4976,深圳,成都,,12:55,T1,已于12:32到达
MF5056,深圳,成都,,12:55,T1,已于12:32到达
ZH3832,深圳,成都,,12:55,T1,已于12:32到达
MU9638,湛江,成都,,12:55,T2,已于13:07到达
ZH9565,南京,成都,,13:00,T2,已于12:52到达
